hw1,hw2,exam1,hw3,hw4,hw5,exam2,hw6,hw7,exam3,grade
55,95,59,100,100,90,36,70,100,83,B
90,70,65,100,100,100,72,100,90,75,A
70,100,60,100,100,100,70,90,95,40,B+
90,100,51,100,0,90,25,100,100,79,C+
90,100,78,100,50,90,95,90,90,10,A-
80,100,58,95,90,55,39,65,95,15,C
90,100,58,100,90,80,56,60,95,50,B
90,95,60,90,100,80,52,90,100,22,B-
90,100,52,75,50,30,40,60,0,53,C
80,100,70,100,100,100,42,100,70,82,A-
35,100,57,100,0,70,80,100,95,48,B+
90,100,76,100,100,100,51,90,100,70,A
100,100,53,100,100,0,35,85,95,40,C
90,100,33,100,50,70,38,89,100,15,C-
80,90,75,100,100,100,49,89,80,13,B-
10,0,33,60,20,90,28,64,85,0,F
65,100,49,70,30,45,44,90,100,65,C+
90,100,50,90,100,90,54,74,90,63,B
65,60,65,95,0,0,40,85,100,13,C-
90,60,49,55,0,0,10,100,100,44,F
90,65,36,95,100,90,16,95,95,33,C-
80,70,26,50,90,90,8,94,0,0,F
90,100,59,85,90,80,26,100,90,80,B-
80,100,65,100,100,90,41,90,100,60,B+
90,70,57,60,100,0,19,0,85,65,C-
60,65,49,80,50,45,22,50,85,23,F
70,42,60,100,100,65,36,30,60,54,C
85,100,65,100,100,90,86,95,90,23,A-
90,100,65,90,100,100,65,95,100,32,B+
80,0,28,60,90,100,22,100,90,43,F
80,100,95,100,100,100,79,90,90,58,A
90,100,65,90,0,65,62,95,85,60,B+
65,100,89,100,0,100,65,50,100,53,A-
65,100,65,55,100,100,55,80,90,48,B
90,100,64,85,100,90,37,70,100,62,B
90,100,96,95,100,100,80,100,100,43,A
65,67,58,55,90,100,51,100,100,20,C+
90,95,56,80,100,100,61,100,90,65,A-
60,95,60,90,100,90,57,100,70,55,B+
85,95,61,100,100,100,41,95,90,52,B
65,70,52,85,100,100,57,80,100,40,B-
90,95,65,100,100,100,64,90,90,70,A
90,100,60,100,100,100,67,100,75,83,A
70,95,65,95,100,90,50,100,85,51,B+
90,70,43,85,100,100,45,100,100,47,C+
60,95,21,60,80,45,35,0,30,25,F
90,100,85,95,100,100,80,90,100,100,A+
45,70,54,100,90,80,57,95,60,23,C+
50,100,55,70,100,100,36,70,70,18,C-
90,95,42,85,0,100,30,60,95,3,F
90,100,65,100,100,100,67,95,100,63,A
90,100,100,100,100,100,83,100,95,53,A
90,100,63,90,100,55,47,99,95,50,B
80,90,52,60,100,46,22,0,38.5,10,F
55,100,54,100,0,80,35,60,100,40,C
80,95,65,100,100,90,73,80,39.2,35,B+
100,95,65,90,100,90,54,70,100,80,A-
90,100,69,100,100,70,55,95,100,0,B-
25,100,16,100,50,90,7,89,85,0,F
60,90,18,100,100,65,4,70,0,0,F
50,55,33,80,100,90,29,95,95,20,C-
70,50,23,80,100,90,9,0,30,39,F
90,0,50,80,50,100,23,12,100,28,F
90,100,47,90,50,100,44,89,95,23,C
95,100,15,100,100,100,21,60,100,10,F
90,100,47,100,100,100,83,100,100,43,A-
25,65,74,95,50,90,61,100,95,28,B-
90,100,95,90,100,100,85,79,100,72,A+
90,100,60,70,0,100,47,60,70,38,C+
90,95,70,90,100,90,69,100,100,28,A-
80,95,56,0,0,30,76,55,60,70,B-
80,100,80,90,90,100,90,95,100,85,A+
85,0,15,0,50,100,18,90,0,0,F
90,100,71,89,100,100,63,85,100,43,A-
49,0,15,100,50,80,46,75,100,43,C-
90,100,50,100,100,90,29,94,90,40,C+
90,100,85,90,100,100,73,100,100,75,A
90,100,91,90,75,90,70,90,100,100,A+
90,100,85,100,100,100,90,90,100,85,A+
0,0,0,0,0,0,0,0,0,0,F
70,100,48,95,50,65,48,100,100,28,C
50,70,41,70,80,73,45,75,90,50,B-
0,80,52,15,0,23,45,0,0,0,F
70,75,66,65,100,68,70,100,70,38,B
0,0,0,0,0,0,0,0,0,0,F
70,90,89,100,50,55,45,70,65,53,A-
0,0,0,0,0,0,0,0,0,0,F
30,100,50,70,100,62,70,95,100,35,B-
65,90,51,60,100,28,100,95,80,38,C+
50,100,51,100,100,65,60,100,90,28,B-
80,100,51,70,90,47,70,95,80,27,C+
75,70,58,55,100,93,75,95,60,47,A-
80,80,44,100,90,75,60,100,100,36,B
80,30,54,100,80,39,65,75,90,46,B-
100,60,18,60,100,29,55,0,0,0,F
90,65,54,0,100,26,21,30,80,34,C-
0,0,0,0,0,0,0,0,0,0,F
0,0,0,0,0,0,0,0,0,0,F
100,75,22,75,95,7,65,100,85,27,C-
90,80,97,100,100,69,70,100,90,70,A+
60,90,81,100,80,88,90,100,100,69,A+
80,75,61,100,90,74,60,75,90,59,A-
75,100,93,65,100,68,70,95,80,69,A
100,100,75,100,100,68,100,100,100,76,A+
100,90,56,100,90,63,100,100,100,58,A-
70,55,53,90,80,17,100,100,80,20,C-
60,100,25,60,100,23,30,75,85,15,F
100,95,68,100,100,28,55,95,100,45,B
100,100,79,100,100,88,100,60,90,43,A
50,75,85,100,100,80,100,100,100,60,A+
50,80,65,70,100,84,95,60,90,71,A
80,75,55,100,90,83,60,100,80,49,A-
95,100,73,85,90,64,80,100,100,66,A
100,100,95,100,90,74,80,100,100,86,A+
50,70,84,85,80,94,50,100,100,56,A
70,75,50,85,100,65,55,95,100,64,B+
35,30,10,25,50,7,0,0,0,0,F
30,80,46,65,100,78,80,100,80,59,B+
0,80,42,100,100,30,0,60,75,46,C
100,35,46,60,100,63,60,75,100,68,B+
80,80,53,100,100,74,80,100,100,67,A
60,65,55,100,30,77,65,70,100,61,B+
70,85,85,45,90,73,50,95,80,71,A
50,80,98,70,60,87,80,75,90,75,A+
85,50,75,65,100,55,65,95,80,35,B
30,100,44,65,100,56,70,100,100,59,B
80,100,71,100,90,39,100,100,100,61,A-
70,90,48,90,100,61,60,75,70,63,B
100,100,88,100,100,64,80,100,100,79,A+
85,90,77,100,100,56,40,100,75,39,B+
0,40,42,95,90,0,0,0,0,0,F
55,65,79,90,90,22,0,100,60,66,B
70,100,85,100,100,85,80,100,90,45,A
90,80,56,100,100,51,60,75,70,31,B-
50,80,59,85,70,60,0,0,100,36,C+
100,100,78,100,90,90,100,75,90,55,A+
100,80,100,100,90,75,50,75,100,89,A+
100,100,100,100,100,95,100,100,100,80,A+
0,0,0,0,0,0,0,0,0,0,F
85,100,65,70,100,90,40,0,90,58,A-
100,85,59,55,100,58,0,100,0,0,F
80,95,59,65,80,88,90,75,100,44,A-
